94288	0	True	15	0	999	0	0	Giant Dinosaur Bone
21877	0	True	7	5	200	800	3200	Netherweave Cloth
124437	0	True	7	5	200	1	0	Shal'dorei Silk
151564	0	True	7	7	200	1	0	Empyrium
82800	0	True	17	0	1	0	0	Pet Cage
124102	0	True	7	9	200	1	0	Dreamleaf
124441	0	True	7	12	200	1	0	Leylight Shard
123918	0	True	7	7	200	1	0	Leystone Ore
33470	0	True	7	5	200	1250	5000	Frostweave Cloth
21841	18	True	1	0	1	10000	40000	Netherweave Bag
109076	0	True	0	8	20	700	14000	Goblin Glider Kit
124440	0	True	7	12	200	700	0	Arkhana
4306	0	True	7	5	200	150	600	Silk Cloth
2592	0	True	7	5	200	33	135	Wool Cloth
2589	0	True	7	5	200	13	55	Linen Cloth
124442	0	True	7	12	200	0	120000	Chaos Crystal
142117	0	True	0	1	100	5000	20000	Potion of Prolonged Power
151565	0	True	7	9	200	1	0	Astral Glory
53010	0	True	7	5	200	1500	0	Embersilk Cloth
109118	0	True	7	7	200	350	0	Blackrock Ore
124669	0	True	7	8	200	62	250	Darkmoon Daggermaw
72092	0	True	7	7	200	1500	0	Ghost Iron Ore
111557	0	True	7	5	200	1750	0	Sumptuous Fur
114821	18	True	1	0	1	15387	61550	Hexweave Bag
123919	0	True	7	7	200	1	0	Felslate
14047	0	True	7	5	200	400	1600	Runecloth
151567	0	True	7	5	200	1	0	Lightweave Cloth
124121	0	True	7	8	200	30	0	Wildfowl Egg
124105	0	True	7	9	200	1	0	Starlight Rose
127847	0	True	0	3	20	2500	10000	Flask of the Whispered Pact
124113	0	True	7	6	200	1	0	Stonehide Leather
72988	0	True	7	5	200	1750	0	Windwool Cloth
4338	0	True	7	5	200	250	1000	Mageweave Cloth
14344	0	True	7	12	200	0	36000	Large Brilliant Shard
124101	0	True	7	9	200	1	0	Aethril
124117	0	True	7	8	200	30	0	Lean Shank
127848	0	True	0	3	20	2500	10000	Flask of the Seventh Demon
127849	0	True	0	3	20	2500	10000	Flask of the Countless Armies
129032	0	True	7	16	200	25	100	Roseate Pigment
128304	0	True	7	9	200	1750	0	Yseralline Seed
124104	0	True	7	9	200	1	0	Fjarnskaggl
124438	0	True	7	11	200	1	0	Unbroken Claw
124103	0	True	7	9	200	1	0	Foxflower
124106	0	True	7	9	200	1750	0	Felwort
52325	0	True	7	10	200	875	3500	Volatile Fire
127035	18	True	1	0	1	15000	60000	Silkweave Satchel
140587	0	True	0	8	20	93546	0	Defiled Augment Rune
124125	0	True	8	11	200	1000	4000	Obliterum
74249	0	True	7	12	200	0	0	Spirit Dust
109128	0	True	7	9	200	2462	0	Nagrand Arrowbloom
52988	0	True	7	9	200	2307	9231	Whiptail
52329	0	True	7	10	200	875	3500	Volatile Life
124115	0	True	7	6	200	1	0	Stormscale
76061	0	True	7	10	200	0	0	Spirit of Harmony
124120	0	True	7	8	200	30	0	Leyblood
52328	0	True	7	10	200	875	3500	Volatile Air
109119	0	True	7	7	200	1500	0	True Iron Ore
12359	0	True	7	7	200	600	2400	Thorium Bar
127850	0	True	0	3	20	2500	10000	Flask of Ten Thousand Scars
141446	0	True	15	4	200	62500	250000	Tome of the Tranquil Mind
133680	0	True	7	8	200	300	1200	Slice of Bacon
89112	0	True	7	10	200	0	0	Mote of Harmony
109129	0	True	7	9	200	2462	0	Talador Orchid
2835	0	True	7	7	200	2	8	Rough Stone
124118	0	True	7	8	200	30	0	Fatty Bearsteak
72104	0	True	7	7	200	3600	14400	Living Steel
2770	0	True	7	7	200	5	20	Copper Ore
36913	0	True	7	7	200	3600	14400	Saronite Bar
151583	0	True	3	7	20	20000	47000	Quick Lightsphene
35627	0	True	7	10	200	6000	0	Eternal Shadow
124444	0	True	7	7	200	1750	0	Infernal Brimstone
72093	0	True	7	7	200	750	0	Kyparite
109127	0	True	7	9	200	2462	0	Starflower
76133	0	True	7	4	200	6000	24000	Lapis Lazuli
72096	0	True	7	7	200	100	400	Ghost Iron Bar
133571	0	True	0	5	20	1250	25000	Azshari Salad
35624	0	True	7	10	200	6000	0	Eternal Earth
132516	0	True	0	0	20	875	3500	Gunshoes
133576	0	True	0	5	20	1250	25000	Bear Tartare
774	0	True	7	4	200	50	200	Malachite
109126	0	True	7	9	200	2462	0	Gorgrond Flytrap
110609	0	True	7	6	200	1	0	Raw Beast Hide
23425	0	True	7	7	200	1500	6000	Adamantite Ore
152296	0	True	8	11	200	1000	4000	Primal Obliterum
124116	0	True	7	6	200	1	0	Felhide
152615	0	True	0	1	20	1200	24000	Astral Healing Potion
36860	0	True	7	10	200	6000	0	Eternal Fire
72238	0	True	7	9	200	1	0	Golden Lotus
10620	0	True	7	7	200	250	1000	Thorium Ore
127841	0	True	0	8	20	2500	10000	Skystep Potion
52327	0	True	7	10	200	875	3500	Volatile Earth
124112	0	True	7	8	200	625	0	Black Barracuda
